x,y,modality,category
0.08,0.02,image,843
-0.02,-0.06,image,843
0.13,-0.02,image,843
-0.01,-0.05,image,843
-0.07,-0.02,image,843
0.04,-0.03,image,843
0.03,-0.01,image,843
-0.01,-0.03,image,843
-0.07,-0.01,image,843
-0.03,-0.04,image,843
0.02,-0.08,image,843
-0.02,-0.05,image,843
-0.07,-0.02,image,843
0.04,-0.03,image,843
-0.13,-0.06,image,843
-0.09,-0.01,image,843
0.05,-0.03,image,843
-0.00,-0.02,image,843
-0.06,0.03,image,843
-0.00,-0.05,image,843
0.01,-0.09,image,843
-0.01,-0.02,image,843
-0.02,-0.02,image,843
0.05,-0.08,image,843
-0.06,0.03,image,843
-0.09,0.00,image,843
0.04,-0.00,image,843
-0.01,-0.04,image,843
-0.04,-0.05,image,843
0.01,0.01,image,843
-0.05,-0.02,image,843
0.11,0.00,image,843
0.06,-0.05,image,843
0.00,0.01,image,843
-0.03,-0.04,image,843
0.02,-0.01,image,843
-0.06,-0.00,image,843
-0.03,-0.04,image,843
0.02,-0.03,image,843
0.15,-0.07,image,843
-0.00,-0.08,image,843
0.02,0.01,image,843
0.05,0.05,image,843
0.01,-0.02,image,843
-0.04,-0.06,image,843
-0.00,-0.03,image,843
-0.01,0.02,image,843
-0.03,-0.01,image,843
-0.00,-0.02,image,843
-0.04,-0.04,image,843
0.11,0.03,image,890
0.04,0.08,image,890
0.11,0.05,image,890
0.03,0.09,image,890
0.08,0.08,image,890
0.01,0.03,image,890
0.07,0.01,image,890
0.10,0.00,image,890
0.07,0.04,image,890
0.09,0.03,image,890
-0.07,0.03,image,890
0.08,0.10,image,890
0.06,0.07,image,890
0.08,0.12,image,890
0.06,0.06,image,890
0.03,-0.02,image,890
0.04,0.09,image,890
0.02,0.03,image,890
0.04,0.09,image,890
-0.00,0.12,image,890
0.12,0.01,image,890
0.03,0.10,image,890
0.05,0.06,image,890
0.10,0.03,image,890
0.07,0.08,image,890
0.07,0.12,image,890
0.03,-0.03,image,890
0.10,0.08,image,890
0.02,0.02,image,890
0.11,-0.01,image,890
0.03,0.02,image,890
0.13,0.08,image,890
0.02,0.00,image,890
0.04,0.04,image,890
0.05,0.07,image,890
0.05,0.04,image,890
0.07,-0.00,image,890
0.11,0.05,image,890
-0.01,0.10,image,890
-0.05,0.06,image,890
0.12,0.01,image,890
-0.01,0.05,image,890
0.08,0.08,image,890
0.03,0.05,image,890
0.06,0.06,image,890
0.07,0.05,image,890
0.11,0.03,image,890
0.02,0.07,image,890
0.05,0.13,image,890
0.11,0.09,image,890
0.02,-0.03,image,842
-0.04,-0.03,image,842
-0.08,0.05,image,842
0.01,-0.02,image,842
-0.02,0.01,image,842
-0.10,-0.01,image,842
-0.04,0.03,image,842
-0.04,0.06,image,842
-0.04,0.02,image,842
-0.02,-0.01,image,842
0.01,-0.01,image,842
0.02,0.00,image,842
-0.00,0.15,image,842
-0.07,0.00,image,842
-0.04,0.03,image,842
0.02,0.04,image,842
-0.08,0.02,image,842
-0.10,-0.05,image,842
-0.10,0.01,image,842
0.08,-0.02,image,842
0.02,0.02,image,842
-0.02,-0.05,image,842
-0.03,0.02,image,842
-0.04,0.01,image,842
-0.05,-0.04,image,842
-0.01,0.03,image,842
0.08,-0.05,image,842
0.11,0.04,image,842
0.02,-0.01,image,842
0.07,0.04,image,842
-0.02,0.04,image,842
0.07,-0.02,image,842
-0.05,0.01,image,842
0.02,-0.03,image,842
-0.02,0.05,image,842
0.02,0.00,image,842
-0.04,0.03,image,842
-0.00,0.01,image,842
0.03,-0.05,image,842
-0.00,-0.03,image,842
0.05,0.05,image,842
-0.05,0.08,image,842
0.01,0.01,image,842
0.01,0.01,image,842
-0.04,-0.00,image,842
0.03,0.04,image,842
-0.03,0.03,image,842
-0.14,0.05,image,842
-0.08,-0.01,image,842
-0.04,0.07,image,842
-0.04,0.04,image,880
-0.06,0.05,image,880
-0.07,0.08,image,880
-0.01,0.01,image,880
0.05,0.03,image,880
-0.02,-0.01,image,880
-0.00,0.14,image,880
0.01,0.01,image,880
0.05,0.03,image,880
-0.03,0.11,image,880
-0.09,-0.06,image,880
-0.00,0.04,image,880
-0.03,0.10,image,880
0.04,0.09,image,880
0.01,0.03,image,880
-0.07,-0.07,image,880
-0.01,-0.05,image,880
-0.06,-0.01,image,880
-0.10,-0.03,image,880
0.01,-0.02,image,880
-0.03,0.02,image,880
-0.07,0.05,image,880
-0.01,-0.01,image,880
-0.06,0.01,image,880
-0.06,-0.06,image,880
-0.04,-0.00,image,880
-0.04,-0.05,image,880
0.03,-0.02,image,880
-0.01,0.03,image,880
-0.03,0.01,image,880
-0.06,-0.04,image,880
-0.03,-0.00,image,880
-0.04,0.09,image,880
0.01,0.00,image,880
-0.07,-0.01,image,880
0.03,-0.05,image,880
-0.09,0.03,image,880
-0.08,0.10,image,880
0.04,0.12,image,880
0.00,0.03,image,880
-0.06,0.02,image,880
-0.08,0.02,image,880
0.04,-0.04,image,880
-0.07,0.05,image,880
-0.05,0.04,image,880
-0.00,0.02,image,880
0.07,0.08,image,880
0.00,0.09,image,880
0.00,0.06,image,880
-0.05,-0.01,image,880
-0.06,0.09,image,671
-0.03,0.04,image,671
-0.07,0.12,image,671
-0.01,0.11,image,671
-0.04,0.04,image,671
-0.03,0.03,image,671
-0.00,0.04,image,671
0.06,-0.03,image,671
-0.02,0.05,image,671
0.02,0.05,image,671
0.01,0.06,image,671
-0.03,-0.00,image,671
0.03,-0.06,image,671
0.01,0.09,image,671
0.02,0.01,image,671
-0.02,0.04,image,671
-0.01,0.04,image,671
-0.05,0.04,image,671
-0.06,-0.06,image,671
-0.00,0.09,image,671
0.05,0.04,image,671
-0.00,0.03,image,671
-0.03,0.06,image,671
