x,y,modality,category
0.04,0.08,image,752
0.09,0.05,image,752
0.05,-0.00,image,752
0.03,0.04,image,752
0.07,0.08,image,752
0.00,0.00,image,752
0.02,-0.02,image,752
0.04,0.04,image,752
0.05,0.00,image,752
0.10,0.04,image,752
0.06,0.05,image,752
0.08,0.07,image,752
-0.00,0.03,image,752
-0.02,0.03,image,752
0.09,-0.07,image,752
0.08,0.07,image,752
0.07,0.08,image,752
0.02,0.02,image,752
0.03,0.01,image,752
0.08,-0.04,image,752
0.08,0.05,image,752
0.03,0.06,image,752
0.07,-0.05,image,752
0.06,-0.02,image,752
0.02,0.07,image,752
0.08,0.06,image,752
-0.02,0.08,image,752
0.01,0.08,image,752
0.06,0.06,image,752
0.07,-0.02,image,752
0.00,-0.00,image,752
0.01,-0.01,image,752
0.01,0.07,image,752
0.02,0.08,image,752
0.06,0.00,image,752
-0.01,0.06,image,752
0.07,0.09,image,752
-0.00,0.03,image,752
0.02,0.04,image,752
0.03,0.02,image,752
0.05,0.06,image,752
0.04,0.02,image,752
0.04,0.03,image,752
0.02,0.04,image,752
0.09,0.04,image,752
0.01,0.04,image,752
0.04,0.01,image,752
0.11,-0.08,image,752
0.01,0.01,image,752
-0.02,-0.02,image,752
0.00,0.01,image,562
-0.03,-0.02,image,562
0.00,0.01,image,562
-0.05,-0.03,image,562
-0.06,-0.04,image,562
-0.02,0.02,image,562
-0.07,-0.04,image,562
-0.05,0.01,image,562
0.02,-0.02,image,562
-0.05,-0.07,image,562
-0.06,-0.01,image,562
-0.03,-0.03,image,562
-0.04,0.01,image,562
0.01,-0.06,image,562
0.01,-0.05,image,562
-0.08,0.00,image,562
-0.06,-0.06,image,562
0.03,-0.03,image,562
-0.06,-0.07,image,562
-0.02,-0.05,image,562
-0.01,-0.02,image,562
0.01,-0.05,image,562
0.01,-0.00,image,562
-0.02,-0.07,image,562
-0.07,-0.01,image,562
0.00,-0.01,image,562
0.04,-0.04,image,562
0.01,-0.06,image,562
-0.03,-0.02,image,562
-0.02,-0.06,image,562
-0.01,-0.05,image,562
-0.04,0.01,image,562
-0.02,0.01,image,562
-0.03,-0.06,image,562
-0.01,-0.07,image,562
0.02,-0.00,image,562
-0.04,0.07,image,562
-0.01,0.08,image,562
-0.03,-0.02,image,562
-0.00,-0.06,image,562
