x,y,modality,category
0.05,0.04,image,805
0.06,-0.02,image,805
0.01,0.05,image,805
0.00,0.08,image,805
-0.04,0.09,image,805
0.06,0.07,image,805
0.05,0.04,image,805
0.09,-0.04,image,805
-0.01,0.00,image,805
0.03,-0.04,image,805
0.06,-0.01,image,805
0.08,0.03,image,805
0.08,0.01,image,805
0.00,0.04,image,805
0.10,0.04,image,805
-0.01,0.07,image,805
0.01,-0.02,image,805
0.01,0.00,image,805
0.06,-0.00,image,805
0.04,0.04,image,805
0.04,0.03,image,805
0.01,-0.00,image,805
-0.01,0.05,image,805
0.01,0.02,image,805
0.02,0.01,image,805
0.04,-0.06,image,805
0.05,0.11,image,805
0.07,0.05,image,805
0.04,0.04,image,805
0.00,0.01,image,805
0.07,0.00,image,805
0.04,0.02,image,805
0.07,-0.02,image,805
0.06,0.09,image,805
0.05,0.01,image,805
0.06,0.05,image,805
0.07,-0.01,image,805
0.01,0.07,image,805
0.01,-0.01,image,805
0.01,0.05,image,805
0.03,0.00,image,805
0.04,0.00,image,805
0.09,0.05,image,805
0.04,-0.03,image,805
-0.00,0.05,image,805
0.06,0.05,image,805
0.06,0.07,image,805
0.04,0.05,image,805
0.04,0.02,image,805
0.04,0.05,image,805
0.04,0.04,image,981
0.12,0.06,image,981
-0.00,0.08,image,981
0.00,0.10,image,981
0.10,0.08,image,981
0.00,0.04,image,981
0.01,0.04,image,981
-0.01,-0.09,image,981
0.06,0.04,image,981
0.06,0.09,image,981
0.05,0.07,image,981
0.07,-0.02,image,981
0.04,0.03,image,981
0.02,0.05,image,981
0.01,0.12,image,981
0.02,-0.01,image,981
0.01,-0.01,image,981
-0.02,0.00,image,981
0.10,0.02,image,981
0.02,0.07,image,981
-0.04,0.03,image,981
0.02,0.03,image,981
0.14,0.02,image,981
0.06,0.04,image,981
0.03,-0.01,image,981
0.05,0.02,image,981
0.02,0.03,image,981
-0.03,0.07,image,981
0.05,0.09,image,981
-0.01,0.07,image,981
-0.03,-0.01,image,981
0.11,0.05,image,981
0.09,0.00,image,981
0.00,0.01,image,981
0.05,0.04,image,981
0.09,0.09,image,981
0.07,0.09,image,981
0.03,0.06,image,981
-0.00,0.01,image,981
0.03,-0.07,image,981
0.01,0.05,image,981
0.06,0.01,image,981
0.03,0.13,image,981
0.07,0.08,image,981
0.02,0.04,image,981
0.02,0.02,image,981
-0.04,-0.00,image,981
0.01,0.09,image,981
0.04,0.02,image,981
0.04,0.11,image,981
-0.01,-0.06,image,768
-0.09,0.09,image,768
0.05,-0.08,image,768
-0.05,-0.01,image,768
0.00,0.05,image,768
0.03,-0.01,image,768
0.02,0.04,image,768
0.03,0.00,image,768
-0.01,0.09,image,768
-0.08,0.00,image,768
0.03,0.05,image,768
0.04,0.07,image,768
-0.03,0.04,image,768
0.01,-0.08,image,768
0.03,-0.01,image,768
0.03,0.00,image,768
0.02,0.07,image,768
0.06,-0.01,image,768
0.05,-0.02,image,768
-0.03,0.02,image,768
0.05,0.05,image,768
0.06,-0.09,image,768
-0.02,0.02,image,768
-0.03,-0.05,image,768
0.04,0.04,image,768
-0.01,0.02,image,768
-0.00,0.00,image,768
0.03,0.04,image,768
-0.06,0.06,image,768
-0.08,-0.10,image,768
0.01,0.00,image,768
0.00,0.07,image,768
0.15,-0.03,image,768
-0.03,-0.01,image,768
0.02,-0.04,image,768
-0.05,0.06,image,768
-0.09,0.00,image,768
0.01,0.03,image,768
-0.00,-0.01,image,768
-0.01,-0.01,image,768
0.01,-0.05,image,768
-0.01,0.06,image,768
-0.01,0.04,image,768
-0.03,0.01,image,768
0.09,0.00,image,768
0.02,0.01,image,768
-0.01,0.10,image,768
0.05,-0.02,image,768
0.02,-0.02,image,768
-0.07,0.01,image,768
0.13,-0.02,image,843
-0.02,-0.01,image,843
