x,y,modality,category
0.05,0.05,image,879
0.06,-0.02,image,879
0.00,-0.02,image,879
-0.02,0.05,image,879
-0.02,-0.02,image,879
-0.03,-0.01,image,879
0.05,0.11,image,879
-0.05,0.00,image,879
-0.00,0.02,image,879
0.06,0.02,image,879
-0.02,0.01,image,879
-0.00,-0.07,image,879
0.02,0.02,image,879
-0.05,0.01,image,879
-0.03,0.07,image,879
0.03,0.06,image,879
0.06,0.01,image,879
-0.01,-0.02,image,879
-0.07,0.00,image,879
0.01,0.08,image,879
0.05,-0.01,image,879
-0.02,0.11,image,879
0.03,0.07,image,879
0.06,0.05,image,879
-0.02,0.08,image,879
0.01,-0.01,image,879
0.03,-0.04,image,879
-0.04,0.03,image,879
-0.00,0.01,image,879
-0.02,0.11,image,879
-0.03,0.02,image,879
0.03,-0.08,image,879
0.07,0.03,image,879
0.00,-0.00,image,879
0.06,0.06,image,879
0.01,-0.01,image,879
0.07,0.03,image,879
0.00,-0.02,image,879
-0.00,-0.10,image,879
-0.02,0.10,image,879
0.04,0.05,image,879
-0.02,0.07,image,879
0.05,-0.02,image,879
0.04,0.01,image,879
0.03,-0.01,image,879
0.01,-0.04,image,879
-0.02,-0.03,image,879
-0.05,-0.01,image,879
-0.01,0.07,image,879
-0.02,-0.03,image,879
0.02,-0.01,image,433
-0.04,-0.01,image,433
0.02,-0.08,image,433
-0.03,-0.00,image,433
-0.01,-0.04,image,433
0.05,-0.01,image,433
-0.10,-0.04,image,433
-0.02,0.07,image,433
-0.04,-0.04,image,433
0.03,0.02,image,433
0.04,-0.04,image,433
-0.00,-0.01,image,433
-0.02,-0.01,image,433
-0.02,-0.03,image,433
-0.01,-0.01,image,433
0.07,-0.05,image,433
-0.01,0.02,image,433
0.05,-0.07,image,433
-0.01,-0.05,image,433
-0.01,-0.07,image,433
-0.04,-0.00,image,433
-0.01,-0.03,image,433
0.05,-0.03,image,433
0.01,0.00,image,433
0.01,-0.03,image,433
0.02,-0.00,image,433
-0.04,-0.01,image,433
0.01,-0.00,image,433
0.01,-0.03,image,433
0.03,-0.05,image,433
0.05,0.02,image,433
-0.02,-0.08,image,433
0.02,-0.01,image,433
-0.04,-0.05,image,433
0.02,0.10,image,433
-0.05,0.01,image,433
-0.02,-0.04,image,433
-0.02,-0.02,image,433
-0.13,-0.01,image,433
-0.04,-0.03,image,433
-0.03,-0.05,image,433
0.01,-0.02,image,433
-0.04,-0.06,image,433
-0.02,-0.05,image,433
0.02,-0.10,image,433
-0.00,-0.02,image,433
-0.04,-0.02,image,433
0.07,-0.09,image,433
-0.11,0.02,image,433
-0.01,-0.01,image,433
0.00,-0.00,image,752
0.03,0.06,image,752
-0.02,-0.02,image,752
0.07,0.08,image,752
0.02,0.07,image,752
0.02,-0.02,image,752
0.08,0.00,image,752
0.03,0.06,image,752
-0.03,0.05,image,752
0.02,0.02,image,752
0.02,0.08,image,752
0.04,0.01,image,752
-0.00,0.03,image,752
0.01,0.04,image,752
0.01,0.05,image,752
0.08,0.05,image,752
0.07,0.09,image,752
0.06,-0.02,image,752
0.08,-0.06,image,752
0.10,0.04,image,752
0.05,0.06,image,752
0.02,0.07,image,752
0.09,0.04,image,752
0.01,0.01,image,752
0.02,0.00,image,752
0.04,0.01,image,752
0.06,0.05,image,752
0.04,0.03,image,752
0.04,0.03,image,752
0.09,0.04,image,752
0.07,-0.04,image,752
0.03,-0.03,image,752
0.03,0.04,image,752
0.05,0.00,image,752
-0.01,0.06,image,752
0.01,0.01,image,752
0.01,0.07,image,752
0.01,0.08,image,752
0.08,-0.04,image,752
0.04,0.02,image,752
0.03,0.02,image,752
0.06,0.04,image,752
0.08,0.07,image,752
-0.01,0.05,image,752
0.00,-0.05,image,752
0.01,0.02,image,752
0.03,0.05,image,752
0.07,0.08,image,752
0.06,0.00,image,752
0.11,-0.08,image,752
0.08,-0.05,image,842
0.07,0.04,image,842
-0.04,0.03,image,842
-0.04,0.02,image,842
-0.00,0.02,image,842
-0.10,0.01,image,842
-0.02,-0.05,image,842
0.02,-0.03,image,842
-0.00,-0.03,image,842
-0.02,-0.01,image,842
-0.10,-0.05,image,842
0.01,-0.02,image,842
-0.07,-0.01,image,842
0.08,-0.02,image,842
-0.10,-0.01,image,842
0.02,0.00,image,842
0.02,0.04,image,842
0.01,0.01,image,842
-0.04,0.03,image,842
0.02,-0.03,image,842
-0.03,0.03,image,842
-0.05,-0.04,image,842
-0.02,0.04,image,842
-0.04,0.07,image,842
-0.02,0.05,image,842
0.05,0.05,image,842
0.02,0.02,image,842
-0.08,0.05,image,842
-0.04,-0.00,image,842
-0.00,0.15,image,842
-0.05,0.01,image,842
0.08,0.04,image,842
-0.00,0.01,image,842
-0.06,0.00,image,842
0.01,-0.01,image,842
-0.08,0.02,image,842
0.03,0.04,image,842
-0.02,0.01,image,842
-0.04,0.06,image,842
-0.04,-0.02,image,842
-0.04,0.03,image,842
-0.07,0.00,image,842
0.07,-0.02,image,842
-0.08,-0.01,image,842
-0.04,0.01,image,842
0.03,-0.05,image,842
-0.01,0.03,image,842
-0.14,0.05,image,842
-0.04,-0.03,image,842
-0.08,0.13,image,842
0.07,0.13,image,560
0.05,0.06,image,560
-0.01,0.09,image,560
0.08,-0.02,image,560
0.05,0.12,image,560
0.13,0.08,image,560
0.04,0.06,image,560
0.02,0.07,image,560
0.05,0.09,image,560
0.01,0.09,image,560
0.13,0.02,image,560
0.05,0.04,image,560
0.12,-0.01,image,560
0.16,0.02,image,560
0.07,-0.01,image,560
0.09,0.05,image,560
0.15,0.03,image,560
0.08,0.09,image,560
0.07,0.12,image,560
0.10,0.02,image,560
0.10,0.03,image,560
-0.01,0.09,image,560
0.10,-0.03,image,560
0.01,0.04,image,560
0.08,0.09,image,560
0.09,0.05,image,560
0.14,0.07,image,560
-0.03,0.06,image,560
0.09,0.04,image,560
0.10,0.02,image,560
0.02,0.12,image,560
0.07,0.06,image,560
0.02,0.08,image,560
0.06,0.09,image,560
0.04,0.01,image,560
0.07,0.01,image,560
0.10,0.02,image,560
0.03,0.00,image,560
0.01,0.02,image,560
0.06,0.06,image,560
0.15,0.04,image,560
0.07,0.15,image,560
0.06,0.11,image,560
-0.00,0.08,image,560
0.08,0.03,image,560
0.09,0.03,image,560
0.04,0.09,image,560
0.08,0.02,image,560
0.03,0.08,image,560
0.13,0.10,image,560
0.00,-0.14,text,879
0.00,-0.14,text,879
0.01,-0.13,text,879
-0.00,-0.14,text,879
0.00,-0.14,text,879
0.01,-0.13,text,879
0.00,-0.13,text,879
-0.01,-0.13,text,879
0.00,-0.13,text,879
-0.01,-0.12,text,879
-0.01,-0.14,text,879
-0.00,-0.13,text,879
0.01,-0.14,text,879
-0.00,-0.12,text,879
-0.01,-0.13,text,879
-0.01,-0.14,text,879
0.00,-0.13,text,879
0.00,-0.13,text,879
-0.00,-0.13,text,879
-0.01,-0.12,text,879
0.00,-0.13,text,879
-0.02,-0.12,text,879
0.00,-0.13,text,879
-0.01,-0.14,text,879
-0.01,-0.12,text,879
-0.01,-0.14,text,879
0.00,-0.14,text,879
0.01,-0.13,text,879
0.01,-0.14,text,879
0.00,-0.13,text,879
-0.00,-0.13,text,879
0.00,-0.13,text,879
0.02,-0.14,text,879
0.00,-0.15,text,879
0.00,-0.13,text,879
0.00,-0.11,text,879
-0.02,-0.13,text,879
0.00,-0.13,text,879
0.00,-0.15,text,879
-0.00,-0.12,text,879
0.00,-0.14,text,879
-0.01,-0.12,text,879
-0.03,-0.14,text,879
0.01,-0.12,text,879
0.01,-0.14,text,879
-0.00,-0.14,text,879
0.01,-0.14,text,879
-0.00,-0.14,text,879
-0.01,-0.12,text,879
-0.02,-0.12,text,879
0.01,-0.14,text,433
-0.01,-0.16,text,433
0.00,-0.15,text,433
-0.01,-0.14,text,433
-0.00,-0.14,text,433
-0.00,-0.15,text,433
-0.00,-0.15,text,433
-0.02,-0.13,text,433
0.01,-0.14,text,433
0.00,-0.15,text,433
0.00,-0.15,text,433
0.00,-0.14,text,433
-0.01,-0.14,text,433
-0.00,-0.13,text,433
0.00,-0.14,text,433
0.00,-0.14,text,433
-0.02,-0.14,text,433
-0.02,-0.14,text,433
-0.01,-0.14,text,433
-0.00,-0.15,text,433
-0.01,-0.14,text,433
-0.01,-0.14,text,433
-0.01,-0.14,text,433
-0.02,-0.14,text,433
0.00,-0.14,text,433
-0.01,-0.15,text,433
-0.02,-0.15,text,433
-0.00,-0.14,text,433
-0.00,-0.15,text,433
-0.00,-0.15,text,433
0.00,-0.15,text,433
-0.00,-0.14,text,433
-0.01,-0.13,text,433
-0.01,-0.13,text,433
-0.03,-0.15,text,433
-0.02,-0.12,text,433
-0.01,-0.15,text,433
0.00,-0.14,text,433
-0.02,-0.14,text,433
0.00,-0.15,text,433
-0.01,-0.16,text,433
-0.00,-0.15,text,433
-0.00,-0.16,text,433
-0.00,-0.16,text,433
-0.01,-0.14,text,433
-0.02,-0.14,text,433
-0.01,-0.15,text,433
-0.01,-0.13,text,433
-0.04,-0.12,text,433
-0.00,-0.14,text,433
-0.00,-0.14,text,752
-0.01,-0.13,text,752
-0.00,-0.13,text,752
0.01,-0.14,text,752
0.00,-0.14,text,752
-0.01,-0.13,text,752
-0.00,-0.13,text,752
-0.00,-0.14,text,752
0.00,-0.13,text,752
-0.00,-0.14,text,752
-0.00,-0.13,text,752
0.00,-0.14,text,752
-0.00,-0.14,text,752
0.00,-0.13,text,752
0.00,-0.13,text,752
0.00,-0.13,text,752
-0.00,-0.13,text,752
-0.00,-0.14,text,752
0.01,-0.15,text,752
0.00,-0.14,text,752
-0.00,-0.14,text,752
0.00,-0.13,text,752
0.01,-0.14,text,752
-0.00,-0.15,text,752
0.01,-0.13,text,752
0.00,-0.13,text,752
-0.00,-0.14,text,752
0.01,-0.13,text,752
0.00,-0.13,text,752
0.01,-0.13,text,752
0.00,-0.14,text,752
0.00,-0.14,text,752
-0.01,-0.15,text,752
0.01,-0.14,text,752
0.01,-0.13,text,752
0.00,-0.14,text,752
0.00,-0.13,text,752
0.00,-0.13,text,752
-0.00,-0.14,text,752
0.01,-0.14,text,752
-0.00,-0.13,text,752
-0.01,-0.14,text,752
0.02,-0.14,text,752
0.00,-0.13,text,752
0.02,-0.15,text,752
-0.00,-0.14,text,752
0.00,-0.13,text,752
0.01,-0.13,text,752
0.01,-0.13,text,752
0.00,-0.13,text,752
-0.02,-0.14,text,842
0.00,-0.14,text,842
0.01,-0.16,text,842
-0.01,-0.12,text,842
-0.01,-0.14,text,842
-0.01,-0.13,text,842
0.01,-0.14,text,842
0.01,-0.14,text,842
0.01,-0.15,text,842
-0.02,-0.15,text,842
-0.02,-0.15,text,842
-0.01,-0.14,text,842
-0.00,-0.15,text,842
0.01,-0.14,text,842
-0.02,-0.14,text,842
0.01,-0.15,text,842
-0.01,-0.13,text,842
-0.00,-0.15,text,842
-0.01,-0.14,text,842
0.01,-0.16,text,842
0.03,-0.14,text,842
-0.03,-0.14,text,842
-0.02,-0.14,text,842
-0.02,-0.13,text,842
-0.02,-0.14,text,842
-0.00,-0.13,text,842
0.00,-0.13,text,842
-0.01,-0.13,text,842
