Model,Dataset,x,y,modality,category
CLIP_ViT-B32,mscoco,-2.93,35.31,image,tup
CLIP_ViT-B32,mscoco,-2.23,35.85,image,tup
CLIP_ViT-B32,mscoco,-2.46,34.93,image,tup
CLIP_ViT-B32,mscoco,-2.01,36.68,image,tup
CLIP_ViT-B32,mscoco,-2.93,36.43,image,tup
CLIP_ViT-B32,mscoco,-1.91,37.11,image,tup
CLIP_ViT-B32,mscoco,-1.29,37.32,image,tup
CLIP_ViT-B32,mscoco,-1.92,38.12,image,tup
CLIP_ViT-B32,mscoco,-3.71,36.55,image,tup
CLIP_ViT-B32,mscoco,-2.86,37.77,image,tup
CLIP_ViT-B32,mscoco,-4.32,39.59,image,tup
CLIP_ViT-B32,mscoco,-3.86,35.33,image,tup
CLIP_ViT-B32,mscoco,-1.00,37.26,image,tup
CLIP_ViT-B32,mscoco,-2.52,37.44,image,tup
CLIP_ViT-B32,mscoco,0.16,36.50,image,tup
CLIP_ViT-B32,mscoco,-0.86,36.22,image,tup
CLIP_ViT-B32,mscoco,-2.60,34.30,image,tup
CLIP_ViT-B32,mscoco,-2.06,33.51,image,tup
CLIP_ViT-B32,mscoco,-0.36,37.29,image,tup
CLIP_ViT-B32,mscoco,-1.76,40.52,image,tup
CLIP_ViT-B32,mscoco,-3.58,34.11,image,tup
CLIP_ViT-B32,mscoco,-5.31,37.11,image,tup
CLIP_ViT-B32,mscoco,-2.31,36.40,image,tup
CLIP_ViT-B32,mscoco,-4.00,37.83,image,tup
CLIP_ViT-B32,mscoco,-2.98,35.44,image,tup
CLIP_ViT-B32,mscoco,-0.93,38.84,image,tup
CLIP_ViT-B32,mscoco,-1.07,34.62,image,tup
CLIP_ViT-B32,mscoco,-3.74,37.17,image,tup
CLIP_ViT-B32,mscoco,-2.15,37.77,image,tup
CLIP_ViT-B32,mscoco,-3.35,38.48,image,tup
CLIP_ViT-B32,mscoco,-0.17,39.73,image,tup
CLIP_ViT-B32,mscoco,-1.70,39.42,image,tup
CLIP_ViT-B32,mscoco,0.98,37.75,image,tup
CLIP_ViT-B32,mscoco,-2.12,37.45,image,tup
CLIP_ViT-B32,mscoco,-3.06,39.13,image,tup
CLIP_ViT-B32,mscoco,-3.11,38.57,image,tup
CLIP_ViT-B32,mscoco,-4.16,35.68,image,tup
CLIP_ViT-B32,mscoco,-1.02,39.50,image,tup
CLIP_ViT-B32,mscoco,0.51,35.56,image,tup
CLIP_ViT-B32,mscoco,-1.24,38.48,image,tup
CLIP_ViT-B32,mscoco,-1.36,35.32,image,tup
CLIP_ViT-B32,mscoco,-5.22,37.98,image,tup
CLIP_ViT-B32,mscoco,-4.24,36.74,image,tup
CLIP_ViT-B32,mscoco,-1.20,36.52,image,tup
CLIP_ViT-B32,mscoco,-0.67,35.43,image,tup
CLIP_ViT-B32,mscoco,-5.18,35.13,image,tup
CLIP_ViT-B32,mscoco,-1.69,36.14,image,tup
CLIP_ViT-B32,mscoco,-3.10,36.78,image,tup
