img id,caption,category
399905,A yellow school bus driving past a red brick building.,school bus
466949,The small yellow bus is parked on the street. ,school bus
129917,An old short school bus sitting in the woods.,school bus
46112,Old dilapidated yellow school bus sits in grassy field.,school bus
431984,A large yellow bus on a city street.,school bus
23107,A double decker bus with the top half green and the bottom orange.,school bus
96820,A crowd watches two school buses crash into each other in a clearing. ,school bus
548126,The school bus drives down the city street.,school bus
534036,a yellow school bus is parked by the curb,school bus
88462,A school bus in the street behind other cars.,school bus
160559,A school bus is driving down a road.,school bus
85744,A yellow school bus parked in a parking lot.,school bus
340386,The school bus has stopped on the side of the road. ,school bus
436350,"A bus traveling down a street, during the day.",school bus
538809,A school bus is parked in front of a building,school bus
399055,Several school busses lined up in a fenced area.,school bus
465321,a person taking a picture in the side mirror of a bus ,school bus
394970,A Chevrolet truck parked in the shade next to a building.,school bus
366048,Two men talk and point in different directions. ,school bus
185475,A yellow school bus parked in a handicap spot. ,school bus
78667,A large yellow bus on a city street.,school bus
39733,a school bus along the side of a road.,school bus
150129,An empty yellow school bus parked by some trees.,school bus
278161,this school bus is yellow and black with dark windows ,school bus
484816,A school bus with a front mirror next to a light pole.,school bus
207378,A bicyclist giving directions to a school bus driver,school bus
200749,Many school buses sitting in a parking lot.,school bus
444691,A picture of a bus that is in the streets.,school bus
481772,A school bus going by a sidewalk and trees with bushes.,school bus
327089,Children are getting off a bus while a woman directs them.,school bus
566758,A school bus is parked on the side of the street.,school bus
109509,a school bus sitting and waiting for kids,school bus
295074,A yellow school bus driving down a street next to a red trucks.,school bus
479556,A long yellow school bus parked in a grassy field,school bus
270893,Yellow passenger buses sit side by side in a parking lot.,school bus
578270,The mirror of the bus is near a gas station.,school bus
254512,Children walking on a snow road with a school bus behind them.,school bus
148319,A yellow school bus parked  near a tree.,school bus
95326,A yellow bus on street next to a building.,school bus
398393,A school bus on a road next to some grass.,school bus
471,An old yellow school bus is parked in a lot.,school bus
561354,A school bus riding down a street with people waiting by.,school bus
552392,A close up of the front of a school bus.,school bus
387387,A school bus sitting in some overgrown grass,school bus
226814,a school bus that is next to some trees,school bus
419439,A yellow school bus parked in a parking lot full of snow.,school bus
370926,A very long yellow school bus is seen on the street.,school bus
128168,a school bus having a colorful shirt sale,school bus
442154,A yellow school bus reflected in a motorcycle mirror.,school bus
437120,A school bus turning right at an intersection.,school bus
389183,Red truck sitting in the street during the day.,fire truck
77899,A red fire hydrant sitting next to a street with a fire house attached to it.,fire truck
474461,A series of picture depicting people standing outside of a fire truck.,fire truck
453222,a couple of tall red buses are next to each other,fire truck
124756,A truck parked in the street in front of a building.,fire truck
258395,"Fire trucks move down a city road, while children play nearby.",fire truck
292662,The old model fire truck sat alone in the room.,fire truck
128034,Late night food carts are open for business.,fire truck
175277,A fire truck sitting in the middle of a road.,fire truck
572405,A red fire truck driving down a city street.,fire truck
439890,A fire engine drives along the turn lane of a street.,fire truck
301373,a couple of fire trucks have their ladders extended ,fire truck
451972,there is a fire truck with christmas decorations on the top,fire truck
27175,a close up of a toy fire truck near other toy cars,fire truck
23797,Red and white fire engine truck parked on grass. ,fire truck
293720,A fire engine is parked under a shade tree. ,fire truck
303236,Fire trucks are lined up next to the mountains.,fire truck
216015,"Firefighters, next to their trucks, fight a blaze. ",fire truck
180721,A large red fire truck driving down a road.,fire truck
133145,there is a close up of the front of a fire truck,fire truck
72124,Two firetrucks parked outside a large warehouse building.,fire truck
288739,Clowns ride an antique firetruck down the road in a parade.,fire truck
380959,The fire truck is parked outside in the parking lot.,fire truck
74411,A couple of red fire hydrants driving down a street next to a green park.,fire truck
500613,a fire truck parked in a lot ,fire truck
20777,Firetrucks are on a rescue mission next to a market.,fire truck
496198,Many people gather around in front of a building. ,fire truck
205439,Two firetrucks are ready to be deployed to a fire.,fire truck
72550,A tow truck towing a car next to a brick building.,fire truck
224140,A parade car is passing by a crowd of spectators.,fire truck
57018,A red fire truck driving down a street next to a tall white building.,fire truck
393617,A child's train traveling through a lush green park.,fire truck
486350,An SUV and a fire truck are parked in a cul-de-sac.  ,fire truck
80431,A large fire truck traveling down a street.,fire truck
369576,A team of firemen fighting to put out a fire at a business.,fire truck
533799,The traffic comes to a standstill as the fire engine proceeds across the intersection.,fire truck
62251,Firefighters are riding in the back of a fire truck.,fire truck
471188,Busses on a city street approaching a bus stop.,fire truck
127971,Volunteer firemen with their truck shooting out a jet of water,fire truck
363887,A car that is outside in the dirt.,fire truck
39542,Firefighters are using the hose on a firetruck to spray water.,fire truck
116462,A fire truck is parked outside of a building.,fire truck
482505,A line of traffic stopped at a red light.,fire truck
429769,An old red firetruck in a parade with clowns.,fire truck
143436,buses pulled over at a bus stop and a red car going down the street,fire truck
413277,A worker performs maintenance on a fire hydrant.,fire truck
344669,Two fire trucks drive down the road of a suburb.,fire truck
475529,A red fire truck driving down the middle of a street.,fire truck
544921,The parade has police cars and fight trucks.,fire truck
210221,A series of fire trucks is going down the street.,fire truck
280788,A man wearing a suit and tie with greased back hair.,suit of clothes
169539,A man standing up against a wall with his hands clasped together.,suit of clothes
492444,Two boys and an older woman posing in front of a boating dock.,suit of clothes
529917,A bunch of people wearing the same things are standing in line.,suit of clothes
368775,A man walking down the street with no shirt pulling luggage.,suit of clothes
351480,A bald man with a beard stands in front of a door.,suit of clothes
163025,A composite picture depicts two differently dressed men.,suit of clothes
514891,A man standing in front of a door.,suit of clothes
558845,A man standing in the middle of a dirt field.  ,suit of clothes
208618,a man in a suit stands in a hall way ,suit of clothes
925,a man from the neck down with a suit and tie on,suit of clothes
557564,A man in a suit and tie wearing a hat.,suit of clothes
150677,A boy in a white jacket and tie and a white table.,suit of clothes
63114,THERE IS A MAN WEARING A TIE AND SKIRT ,suit of clothes
12614,A man and woman pose in a glass walled room.,suit of clothes
178933,A man has one eye open and one eye half shut. ,suit of clothes
148931,A man in a suit is taking a selfie,suit of clothes
341696,A person in a suit jacket and a tie is standing.,suit of clothes
435673,Gentleman with glasses and a set of bunny ears on top his head.,suit of clothes
445355,A man dressed in a suit and a leather mask,suit of clothes
414715,The man is wearing a suit and tie.,suit of clothes
455529,A man and woman shaking hands for a photo-op ,suit of clothes
148570,A picture of three men in black suits standing in a field.,suit of clothes
19781,A man wearing a striped suit sitting in a chair.,suit of clothes
503991,A man standing in front of a store wearing a business suit.,suit of clothes
257656,A man that is wearing glasses with a tie.,suit of clothes
558104,a man is wearing a black suit and a black hat,suit of clothes
15069,A business man in business attire stands on a sidewalk.,suit of clothes
320418,A man in a suit posing for a picture.,suit of clothes
300865,Two men who are standing near each other.,suit of clothes
542442,A group of three men walking down a street.,suit of clothes
475856,A man in a suit poses with his chin up in front of the door.,suit of clothes
124197,The man is dressed up in his  black  suit.,suit of clothes
58179,"A man wearing a suit, tie, and hat.",suit of clothes
557190,Two men young and old take a photo.,suit of clothes
546154,Man and woman standing in formal attire at a party.,suit of clothes
522194,A man in a tie standing in a white room.,suit of clothes
444895,A man is standing wearing shades and a suit,suit of clothes
387181,A well dressed young man is standing in front of the camera man. ,suit of clothes
553346,A tall man is holding a shirt and tie next to a suit to see if it matches.,suit of clothes
356144,The man with the beard is adjusting his tie. ,suit of clothes
388034,A man with a long black coat and hat standing in front of a christmas tree.,suit of clothes
80231,a person standing on a street side walk wearing a suit and tie,suit of clothes
240196,a guy in a suit leaning over while staring into the camera,suit of clothes
574757,A person wearing a suite and a plaid tie.,suit of clothes
63247,A man in a suit is leaning on a rail near the water.,suit of clothes
111311,a man wearing a suit and tie standing in a room.,suit of clothes
41319,a man in a suit and tie wearing glasses,suit of clothes
175334,A woman in a suit and tie standing with her hands in her pockets.,suit of clothes
354547,A man wearing a suit and standing on a field of grass.,suit of clothes
453178,"Broccoli, carrots, and cauliflower being stir fried in a black skilet",broccoli
58161,some cheese broccoli and other food on a white plate,broccoli
131527,A close up of chopped broccoli florets with some leaves,broccoli
66737,A healthy looking salad with broccoli and asparagus.,broccoli
252381,A pan full of cut and steamed brocolli spears. ,broccoli
532638,The broccolli is on the plate on the table. ,broccoli
3234,"Green vegetables are sitting in a white bowl, with tongs.",broccoli
322749,a plate of many different vegetables including broccoli ,broccoli
412592,A bowl full of broccoli with spoons on a table.,broccoli
144796,"Delicious looking plate of beef, broccoli, and dumplings",broccoli
407699,a close up of a plate of food with broccoli,broccoli
277665,"A plate topped with meat, broccoli and a suace.",broccoli
513643,There is a chicken broccoli rice dish on the plate.,broccoli
287369,a bowl with some vegetables and meat inside of it ,broccoli
332932,A dish with broccoli and beef next to a metal spoon.,broccoli
471342,A bowl filled with lots of vegetables and rice.,broccoli
